File,Filename,Aktion,Altersgruppe,Antwort,Bezirk,DSGVO-Basis,Fahrzeit ab Hellmonsodt,Follow-up,Gemeinde,Gesendet am,Kapazitaet,Kategorie,Kontakt-Email,Kurzbeschreibung,Notizen,Nr.,Organisation,Programmname,Region,Stadt/Ort,Status,Tier,Typ,Warum relevant,Warum sie zahlen wuerden,Website,Website/URL
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Landes-Jugendhaus,ljh-losenstein.post@ooe.gv.at,"Renoviert 2004, Seminarraum, Tor zum Nationalpark Kalkalpen, Vollpension",,1,Landes-Jugendhaus Losenstein,,,Losenstein,Ausstehend,Tier 1,Jugendunterkunft (Land OOe),,Schulgruppen brauchen Zusatzprogramme; Seminarraum bereit fuer ext. Anbieter,land-oberoesterreich.gv.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Landes-Jugendhaus,ljh-hinterstoder.post@ooe.gv.at,"1.365m, 76 Betten, 150m2 Seminarraum, Sportplatz, Nationalpark Kalkalpen",,2,Landes-Jugendhaus Edtbauernalm,,,Hinterstoder,Ausstehend,Tier 1,Jugendunterkunft (Land OOe),,Projekt-/Sportwochen brauchen paed. Begleitprogramme; alpine Lage perfekt,land-oberoesterreich.gv.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Landes-Jugendhaus,ljh-spital.post@ooe.gv.at,"1.400m, 80 Betten, nur per Seilbahn, Sauna, Sportplatz, Kletterwand",,3,Landes-Jugendhaus Wurzeralm,,,Spital am Pyhrn,Ausstehend,Tier 1,Jugendunterkunft (Land OOe),,Kletterprogramme zeigen ext. Anbieter-Infrastruktur; Schulgruppen zahlen,land-oberoesterreich.gv.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Landes-Jugendhaus,ljh-aigen.post@ooe.gv.at,"80 Betten, ganzjaehrig, Boehmerwald-Suedhang, Adalbert-Stifter-Jugendherberge",,4,Landes-Jugendhaus Aigen,,,Aigen-Schlaegl,Ausstehend,Tier 1,Jugendunterkunft (Land OOe),,Boehmerwald-Lage ideal fuer Naturpaedagogik; ganzjaehrig buchbar,land-oberoesterreich.gv.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,JUFA Hotel,spitalpyhrn@jufahotels.com,"150+ Betten, barockes Kloster, Familien/Gruppen/Seminare, ganzjaehrig",,5,JUFA Hotel Spital am Pyhrn,,,Spital am Pyhrn,Ausstehend,Tier 1,Jugendunterkunft (privat),,JUFA bucht regelmaessig ext. Erlebnisprogramme als Paket fuer Gruppen,jufahotels.com,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,JUFA Hotel,almtal@jufahotels.com,"180+ Betten, modern, Naturschutzgebiet, Familien/Schulgruppen/Seminare",,6,JUFA Hotel Gruenau im Almtal,,,Gruenau im Almtal,Ausstehend,Tier 1,Jugendunterkunft (privat),,Almtal-Lage + Schulgruppen-Fokus = perfekt fuer Naturpaedagogik-Pakete,jufahotels.com,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Jutel,hinterstoder@jutel.at,"99 Betten, an der Steyr, modern, barrierefrei, ganzjaehrig",,7,Jutel Hinterstoder,,,Hinterstoder,Ausstehend,Tier 1,Jugendunterkunft (privat),,Schulgruppen-Unterkunft mit Programmluecke; Naturlage hervorragend,jutel.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Jutel,obertraun@jutel.at,"113 Betten, Seminarraeume, Spielplaetze, Dachstein-Salzkammergut",,8,Jutel Obertraun,,,Obertraun,Ausstehend,Tier 1,Jugendunterkunft (privat),,Seminarinfrastruktur + UNESCO-Welterbe-Lage; bucht ext. Programme,jutel.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Junge Hotels,linz@myhostel.at,"280 Betten, zentral mit Gruen, barrierefrei, groesste JH in OOe",,9,Jugendgaestehaus Linz,,,Linz,Ausstehend,Tier 1,Jugendunterkunft (Verband),,Groesste Kapazitaet in OOe; staedtische Naturpaedagogik moeglich,myhostel.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Junge Hotels,badischl@myhostel.at,"115 Betten, Schwimmbaeder gegenueber, barrierefrei, Salzkammergut",,10,Jugendgaestehaus Bad Ischl,,,Bad Ischl,Ausstehend,Tier 1,Jugendunterkunft (Verband),,Salzkammergut-Schulwochen brauchen Begleitprogramme,myhostel.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Junge Hotels,mondsee@myhostel.at,"80 Betten, Seminarraeume, Fussdistanz zum Mondsee, Familienraeume",,11,Youth Hostel Mondsee,,,Mondsee,Ausstehend,Tier 1,Jugendunterkunft (Verband),,See-Lage + Seminarraeume; Wasseroekologie als Programm,myhostel.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Junge Hotels,jugendherberge@studentenwohnheim-steyr.at,"350+ Betten, groesster Seminarbetrieb, Nationalpark-Naehe",,12,Youth Hostel Steyr,,,Steyr,Ausstehend,Tier 1,Jugendunterkunft (Verband),,Riesige Kapazitaet + Naehe Kalkalpen; ext. Programme gefragt,myhostel.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Europacamp,office@europacamp.at,"200+ Betten (Hostel+Bungalows+Camping), Seminarraeume, Attersee-Zugang",,13,Europacamp Weissenbach,,,Steinbach am Attersee,Ausstehend,Tier 1,Jugendunterkunft (privat),,Camp-Format ideal fuer Naturpaedagogik; See + Wald vor der Tuer,europacamp.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Seminarhaus,info@jugendhaus-obernberg.at,"Seminarbetrieb mit Jugendgruppen, mehrtaegige Formate",,14,Jugend- und Seminarhaus Obernberg,,,Obernberg am Inn,Ausstehend,Tier 1,Jugendunterkunft (privat),,Geschaeftsmodell ist Gruppen-Seminare; braucht Programmanbieter,jugendhaus-obernberg.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Kinder-/Jugendparadies,office@lindenhof.at,"190 Betten, Spezialist fuer Schulveranstaltungen, Projektwochen, Sportwochen",,15,Lindenhof - Das Jugendparadies,,,Spital am Pyhrn,Ausstehend,Tier 1,Jugendunterkunft (privat),,SCHULVERANSTALTUNGS-SPEZIALIST; bucht ext. Programme als Kerngeschaeft,lindenhof.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Bildungshaus,office@breitenstein.or.at,"20 Betten, Wald-Lage, Bogenschiessen+Hochseilgarten, 40J Erfahrung",,16,Bildungshaus Breitenstein,,,Kirchschlag bei Linz,Ausstehend,Tier 1,Bildungshaus (kirchlich),,Wald-Lage + Erlebnispaed. Infrastruktur; bucht ext. Seminarleiter,breitenstein.or.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Bildungshaus,puchberg@dioezese-linz.at,"Renaissance-Schloss, 800 Events/Jahr, 60.000 TN, Familie+Kinder+Paedagogik",,17,Bildungshaus Schloss Puchberg,,,Wels,Ausstehend,Tier 1,Bildungshaus (Dioezese),,800 Events = staendiger Bedarf an ext. Referent:innen; Paedagogik-Programm,schlosspuchberg.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Bildungsschloss,schloss-weinberg.post@ooe.gv.at,"36 Zimmer, 10 Seminarraeume, Schulklassen-Fuehrungen, Muehlviertel",,18,Bildungsschloss Weinberg,,,Kefermarkt,Ausstehend,Tier 1,Bildungshaus (Land OOe),,Explizite Schulklassen-Programme; interaktive Workshops gefragt,bildungsschloesser.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Bildungsschloss,schloss-zell.post@ooe.gv.at,"18. Jhd. Schloss, Meisterkurse fuer Jugend, Seminare, Innviertel",,19,Bildungsschloss Zell an der Pram,,,Zell an der Pram,Ausstehend,Tier 1,Bildungshaus (Land OOe),,Jugend-Meisterkurse brauchen Freizeitprogramm-Ergaenzung,bildungsschloesser.at,
1,Naturpaedagogik_Prospect_Database_OOe.xlsx,,,,,Berechtigtes Interesse (Art. 6/1/f DSGVO),,,,,,Bildungszentrum,info@stift-reichersberg.at,"51 Gaeste, 57 Kurse/Jahr, Schnitzen/Kalligrafie/Meditation, Augustiner",,20,Stift Reichersberg Bildungszentrum,,,Reichersberg,Ausstehend,Tier 1,Bildungshaus (Kloster),,57 Kurse = regelmaessiger ext. Referent:innen-Bedarf; Klostergarten,stift-reichersberg.at,
